state,seat1990,seat2000,seat2010,seat2011,seat2012,seat2013,seat2014,seat2015,seat2016,seat2017
alabama,7,7,7,7,7,7,7,7,7,7
alaska,1,1,1,1,1,1,1,1,1,1
arizona,6,8,9,9,9,9,9,9,9,9
arkansas,4,4,4,4,4,4,4,4,4,4
california,52,53,53,53,53,53,53,53,53,53
colorado,6,7,7,7,7,7,7,7,7,8
connecticut,6,5,5,5,5,5,5,5,5,5
delaware,1,1,1,1,1,1,1,1,1,1
florida,23,25,27,27,27,27,27,28,28,28
georgia,11,13,14,14,14,14,14,14,14,14
hawaii,2,2,2,2,2,2,2,2,2,2
idaho,2,2,2,2,2,2,2,2,2,2
illinois,20,19,18,18,18,18,18,18,17,17
indiana,10,9,9,9,9,9,9,9,9,9
iowa,5,5,4,4,4,4,4,4,4,4
kansas,4,4,4,4,4,4,4,4,4,4
kentucky,6,6,6,6,6,6,6,6,6,6
louisiana,7,7,6,6,6,6,6,6,6,6
maine,2,2,2,2,2,2,2,2,2,2
maryland,8,8,8,8,8,8,8,8,8,8
massachusetts,10,10,9,9,9,9,9,9,9,9
michigan,16,15,14,14,14,14,14,13,13,13
minnesota,8,8,8,7,7,7,7,7,7,7
mississippi,5,4,4,4,4,4,4,4,4,4
missouri,9,9,8,8,8,8,8,8,8,8
montana,1,1,1,1,1,1,1,1,1,1
nebraska,3,3,3,3,3,3,3,3,3,3
nevada,2,3,4,4,4,4,4,4,4,4
new-hampshire,2,2,2,2,2,2,2,2,2,2
new-jersey,13,13,12,12,12,12,12,12,12,12
new-mexico,3,3,3,3,3,3,3,3,3,3
new-york,31,29,27,27,27,27,27,27,27,26
north-carolina,12,13,13,14,14,14,14,14,14,14
north-dakota,1,1,1,1,1,1,1,1,1,1
ohio,19,18,16,16,16,16,16,16,16,16
oklahoma,6,5,5,5,5,5,5,5,5,5
oregon,5,5,5,5,5,5,5,5,6,6
pennsylvania,21,19,18,18,18,18,17,17,17,17
rhode-island,2,2,2,2,2,2,2,2,2,2
south-carolina,6,6,7,7,7,7,7,7,7,7
south-dakota,1,1,1,1,1,1,1,1,1,1
tennessee,9,9,9,9,9,9,9,9,9,9
texas,30,32,36,36,36,36,37,37,37,38
utah,3,3,4,4,4,4,4,4,4,4
vermont,1,1,1,1,1,1,1,1,1,1
virginia,11,11,11,11,11,11,11,11,11,11
washington,9,9,10,10,10,10,10,10,10,10
west-virginia,3,3,3,3,3,3,3,3,3,2
wisconsin,9,8,8,8,8,8,8,8,8,8
wyoming,1,1,1,1,1,1,1,1,1,1
