step,order1990,order2000,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
325,california,minnesota,north-carolina,north-carolina,north-carolina,new-mexico,texas,utah,california,texas
326,texas,illinois,louisiana,texas,new-jersey,new-jersey,new-jersey,ohio,arkansas,california
327,florida,missouri,illinois,louisiana,louisiana,louisiana,california,arkansas,mississippi,arkansas
328,ohio,massachusetts,texas,new-york,california,california,new-mexico,california,ohio,michigan
329,new-york,virginia,kansas,illinois,new-york,texas,louisiana,new-jersey,texas,nevada
330,california,pennsylvania,new-york,kansas,kansas,new-york,utah,louisiana,washington,colorado
331,indiana,california,pennsylvania,california,illinois,utah,florida,new-mexico,new-jersey,ohio
332,wisconsin,florida,california,minnesota,minnesota,minnesota,new-york,minnesota,louisiana,mississippi
333,illinois,new-york,minnesota,pennsylvania,texas,kansas,minnesota,texas,colorado,minnesota
334,virginia,new-mexico,florida,texas,pennsylvania,florida,kansas,new-york,minnesota,new-jersey
335,tennessee,rhode-island,missouri,florida,utah,illinois,california,washington,new-mexico,florida
336,louisiana,west-virginia,california,utah,florida,pennsylvania,illinois,colorado,nevada,louisiana
337,washington,kentucky,texas,california,california,california,washington,california,california,new-mexico
338,nebraska,michigan,connecticut,washington,washington,washington,texas,kansas,new-york,california
339,pennsylvania,south-carolina,utah,connecticut,missouri,texas,pennsylvania,nevada,florida,texas
340,texas,ohio,ohio,missouri,connecticut,colorado,colorado,illinois,kansas,new-york
341,michigan,texas,washington,kentucky,texas,california,nevada,florida,texas,kansas
342,california,new-jersey,kentucky,new-york,new-york,missouri,california,pennsylvania,illinois,georgia
343,maryland,california,michigan,ohio,california,connecticut,florida,california,california,california
344,south-carolina,indiana,new-york,california,kentucky,new-york,missouri,texas,georgia,arizona
345,oregon,wisconsin,california,michigan,colorado,nevada,georgia,georgia,pennsylvania,pennsylvania
346,massachusetts,new-york,nevada,colorado,ohio,kentucky,new-york,missouri,arizona,illinois
347,north-carolina,california,illinois,texas,nevada,florida,kentucky,new-york,missouri,florida
348,florida,georgia,georgia,georgia,georgia,georgia,connecticut,kentucky,north-carolina,north-carolina
349,new-york,florida,colorado,nevada,michigan,ohio,texas,california,california,texas
350,california,illinois,texas,maryland,florida,maryland,ohio,north-carolina,florida,missouri
351,alabama,maryland,maryland,illinois,maryland,michigan,california,connecticut,kentucky,california
352,iowa,texas,massachusetts,florida,massachusetts,massachusetts,maryland,maryland,new-york,kentucky
353,ohio,pennsylvania,pennsylvania,massachusetts,california,california,massachusetts,arizona,texas,new-york
354,new-mexico,north-carolina,florida,california,north-carolina,texas,north-carolina,ohio,maryland,maryland
355,georgia,nebraska,california,north-carolina,illinois,north-carolina,michigan,massachusetts,massachusetts,massachusetts
356,texas,california,new-jersey,virginia,virginia,virginia,virginia,virginia,virginia,virginia
357,new-jersey,washington,virginia,pennsylvania,texas,illinois,arizona,texas,connecticut,ohio
358,illinois,louisiana,indiana,new-jersey,pennsylvania,arizona,california,florida,ohio,connecticut
359,california,new-york,north-carolina,indiana,new-jersey,new-jersey,texas,michigan,michigan,california
360,new-york,ohio,new-york,new-york,arizona,pennsylvania,illinois,california,california,michigan
361,pennsylvania,alabama,wisconsin,texas,indiana,california,florida,illinois,texas,texas
362,missouri,michigan,west-virginia,wisconsin,new-york,indiana,new-jersey,new-jersey,tennessee,florida
363,florida,arizona,arizona,arizona,california,new-york,indiana,indiana,indiana,tennessee
364,colorado,california,california,california,wisconsin,florida,new-york,new-york,new-jersey,indiana
365,california,texas,texas,west-virginia,tennessee,texas,pennsylvania,tennessee,florida,nebraska
366,michigan,florida,tennessee,tennessee,florida,wisconsin,tennessee,pennsylvania,nebraska,new-jersey
367,connecticut,virginia,nebraska,nebraska,west-virginia,tennessee,wisconsin,texas,illinois,california
368,texas,new-jersey,ohio,florida,nebraska,nebraska,nebraska,nebraska,california,washington
369,virginia,illinois,rhode-island,california,texas,california,california,california,new-york,new-york
370,new-york,california,florida,ohio,california,west-virginia,texas,wisconsin,pennsylvania,pennsylvania
371,california,tennessee,alabama,rhode-island,ohio,ohio,west-virginia,florida,wisconsin,illinois
372,ohio,massachusetts,california,texas,rhode-island,texas,california,california,washington,texas
373,illinois,new-york,illinois,alabama,alabama,alabama,florida,georgia,south-carolina,south-carolina
374,indiana,colorado,michigan,new-york,new-york,california,ohio,south-carolina,texas,wisconsin
375,minnesota,pennsylvania,new-york,illinois,california,rhode-island,georgia,washington,georgia,georgia
376,pennsylvania,texas,texas,michigan,illinois,new-york,alabama,texas,california,california
377,north-carolina,missouri,pennsylvania,california,texas,georgia,new-york,west-virginia,north-carolina,florida
378,california,california,california,pennsylvania,georgia,florida,rhode-island,ohio,florida,north-carolina
379,texas,minnesota,georgia,georgia,michigan,illinois,south-carolina,alabama,ohio,oregon
380,mississippi,georgia,south-carolina,texas,florida,south-carolina,washington,new-york,alabama,texas
381,wisconsin,iowa,florida,south-carolina,pennsylvania,washington,texas,rhode-island,new-york,california
382,florida,florida,washington,florida,south-carolina,michigan,california,north-carolina,california,ohio
383,tennessee,ohio,texas,washington,washington,pennsylvania,north-carolina,california,rhode-island,alabama
384,oklahoma,california,california,california,california,california,illinois,florida,west-virginia,colorado
385,washington,north-carolina,minnesota,north-carolina,north-carolina,north-carolina,michigan,illinois,oregon,rhode-island
