step,order1990,order2000,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
42,new-jersey,florida,georgia,georgia,michigan,wisconsin,california,california,north-carolina,north-carolina
43,california,california,california,california,texas,california,wisconsin,north-carolina,california,california
44,ohio,pennsylvania,north-carolina,texas,california,michigan,north-carolina,wisconsin,wisconsin,wisconsin
45,texas,minnesota,texas,north-carolina,north-carolina,north-carolina,michigan,michigan,michigan,michigan
46,minnesota,new-york,minnesota,minnesota,minnesota,minnesota,minnesota,minnesota,colorado,colorado
47,louisiana,new-jersey,illinois,illinois,illinois,colorado,colorado,colorado,minnesota,minnesota
48,florida,georgia,pennsylvania,pennsylvania,pennsylvania,illinois,illinois,california,florida,florida
49,alabama,north-carolina,new-jersey,colorado,colorado,pennsylvania,pennsylvania,illinois,california,texas
50,california,ohio,colorado,new-jersey,new-jersey,california,california,florida,texas,california
51,new-york,california,california,california,california,new-jersey,new-jersey,pennsylvania,illinois,pennsylvania
52,north-carolina,texas,new-york,new-york,new-york,new-york,florida,texas,pennsylvania,illinois
53,michigan,louisiana,florida,florida,florida,florida,new-york,new-jersey,new-jersey,new-jersey
54,pennsylvania,alabama,alabama,texas,texas,texas,texas,new-york,new-york,new-york
55,georgia,colorado,texas,alabama,alabama,alabama,alabama,south-carolina,south-carolina,south-carolina
56,texas,california,ohio,ohio,virginia,virginia,south-carolina,alabama,alabama,virginia
57,kentucky,new-york,south-carolina,virginia,south-carolina,south-carolina,virginia,virginia,virginia,alabama
58,arizona,florida,virginia,south-carolina,ohio,ohio,california,california,california,california
59,california,virginia,california,california,california,california,ohio,ohio,ohio,ohio
60,illinois,michigan,louisiana,louisiana,louisiana,louisiana,louisiana,louisiana,louisiana,texas
61,virginia,kentucky,kentucky,kentucky,kentucky,texas,texas,texas,texas,louisiana
62,south-carolina,south-carolina,new-york,texas,texas,kentucky,kentucky,florida,florida,florida
63,massachusetts,texas,california,california,california,california,california,kentucky,california,california
64,ohio,illinois,texas,new-york,new-york,new-york,florida,california,kentucky,kentucky
65,new-york,pennsylvania,florida,florida,florida,florida,new-york,new-york,new-york,new-york
66,california,california,illinois,illinois,illinois,illinois,georgia,georgia,georgia,washington
67,florida,massachusetts,michigan,michigan,georgia,georgia,illinois,washington,washington,georgia
68,colorado,ohio,pennsylvania,pennsylvania,pennsylvania,michigan,washington,north-carolina,texas,texas
69,connecticut,new-york,georgia,georgia,michigan,pennsylvania,north-carolina,texas,north-carolina,north-carolina
70,texas,california,california,california,california,north-carolina,california,california,california,california
71,indiana,indiana,north-carolina,north-carolina,north-carolina,washington,michigan,illinois,oregon,oregon
72,new-jersey,florida,washington,washington,washington,california,pennsylvania,michigan,illinois,michigan
73,oklahoma,texas,oregon,oregon,oregon,texas,texas,pennsylvania,michigan,arizona
74,california,oklahoma,massachusetts,texas,texas,oregon,oregon,oregon,pennsylvania,pennsylvania
75,pennsylvania,new-jersey,texas,massachusetts,massachusetts,massachusetts,massachusetts,arizona,arizona,illinois
76,new-york,oregon,oklahoma,oklahoma,oklahoma,oklahoma,oklahoma,massachusetts,massachusetts,florida
77,missouri,washington,indiana,indiana,arizona,arizona,arizona,oklahoma,oklahoma,massachusetts
78,illinois,connecticut,arizona,arizona,indiana,indiana,indiana,florida,florida,oklahoma
79,michigan,georgia,tennessee,tennessee,tennessee,tennessee,california,indiana,tennessee,tennessee
80,california,california,new-york,new-york,california,california,tennessee,california,california,california
81,oregon,north-carolina,ohio,california,new-york,new-york,florida,tennessee,indiana,indiana
82,texas,tennessee,california,ohio,florida,florida,new-york,new-york,texas,texas
83,florida,missouri,new-jersey,new-jersey,ohio,ohio,ohio,texas,new-york,new-york
84,wisconsin,illinois,connecticut,florida,new-jersey,new-jersey,new-jersey,ohio,ohio,ohio
85,tennessee,pennsylvania,florida,connecticut,connecticut,connecticut,texas,new-jersey,new-jersey,new-jersey
86,washington,new-york,missouri,missouri,texas,texas,connecticut,connecticut,connecticut,california
87,ohio,michigan,california,texas,missouri,california,california,california,california,connecticut
88,iowa,texas,texas,california,california,missouri,missouri,missouri,missouri,missouri
89,maryland,wisconsin,maryland,maryland,maryland,maryland,maryland,maryland,maryland,florida
90,california,california,illinois,illinois,virginia,virginia,virginia,virginia,florida,maryland
91,north-carolina,maryland,wisconsin,virginia,illinois,illinois,illinois,texas,virginia,texas
92,new-york,florida,pennsylvania,wisconsin,wisconsin,wisconsin,wisconsin,florida,texas,virginia
93,georgia,arizona,virginia,pennsylvania,pennsylvania,pennsylvania,california,california,california,california
94,pennsylvania,ohio,new-york,new-york,new-york,california,texas,wisconsin,wisconsin,wisconsin
95,mississippi,iowa,california,california,california,new-york,florida,illinois,illinois,new-york
96,california,california,florida,florida,florida,florida,pennsylvania,new-york,new-york,pennsylvania
97,texas,virginia,michigan,texas,texas,texas,new-york,pennsylvania,pennsylvania,illinois
98,virginia,mississippi,texas,michigan,georgia,georgia,georgia,georgia,georgia,georgia
99,minnesota,minnesota,georgia,georgia,michigan,michigan,minnesota,north-carolina,north-carolina,north-carolina
100,illinois,new-york,minnesota,minnesota,minnesota,minnesota,north-carolina,minnesota,colorado,colorado
101,kansas,texas,iowa,iowa,north-carolina,north-carolina,michigan,california,minnesota,minnesota
102,massachusetts,california,north-carolina,north-carolina,iowa,california,california,colorado,california,texas
103,florida,illinois,california,california,california,iowa,iowa,michigan,texas,california
104,new-jersey,kansas,ohio,ohio,colorado,colorado,colorado,iowa,michigan,michigan
105,louisiana,pennsylvania,mississippi,mississippi,mississippi,texas,texas,texas,iowa,iowa
106,new-york,arkansas,arkansas,colorado,ohio,mississippi,ohio,florida,florida,florida
107,california,florida,colorado,arkansas,texas,ohio,mississippi,ohio,utah,utah
108,michigan,new-jersey,new-york,new-york,arkansas,arkansas,florida,mississippi,california,california
109,ohio,georgia,kansas,texas,new-york,new-york,arkansas,utah,ohio,washington
110,arkansas,california,texas,california,california,california,california,california,arkansas,ohio
111,alabama,massachusetts,california,kansas,kansas,florida,new-york,arkansas,mississippi,arkansas
112,texas,louisiana,florida,florida,florida,utah,utah,new-york,washington,nevada
113,california,alabama,illinois,utah,utah,kansas,kansas,washington,new-york,mississippi
114,indiana,texas,new-jersey,illinois,washington,washington,washington,kansas,nevada,texas
115,pennsylvania,michigan,pennsylvania,new-jersey,illinois,new-jersey,nevada,nevada,texas,new-york
116,new-york,new-york,alabama,washington,new-jersey,illinois,new-jersey,texas,kansas,kansas
117,florida,north-carolina,utah,pennsylvania,pennsylvania,pennsylvania,texas,new-jersey,south-carolina,south-carolina
118,illinois,colorado,washington,alabama,alabama,alabama,illinois,california,california,california
119,california,indiana,nevada,california,california,nevada,california,south-carolina,new-jersey,arizona
120,kentucky,ohio,california,nevada,nevada,california,alabama,illinois,arizona,new-jersey
121,arizona,california,south-carolina,massachusetts,texas,texas,pennsylvania,alabama,alabama,florida
122,north-carolina,washington,massachusetts,south-carolina,south-carolina,south-carolina,south-carolina,pennsylvania,illinois,alabama
123,texas,florida,indiana,texas,massachusetts,massachusetts,massachusetts,arizona,pennsylvania,massachusetts
124,missouri,texas,texas,indiana,arizona,arizona,arizona,massachusetts,massachusetts,pennsylvania
125,california,illinois,louisiana,louisiana,indiana,indiana,indiana,florida,florida,illinois
126,georgia,california,new-york,arizona,louisiana,louisiana,louisiana,indiana,texas,texas
127,ohio,new-york,arizona,new-york,new-york,new-york,florida,louisiana,tennessee,tennessee
128,new-york,kentucky,tennessee,tennessee,tennessee,tennessee,california,california,california,california
129,michigan,tennessee,california,california,california,california,tennessee,tennessee,indiana,indiana
130,south-carolina,pennsylvania,michigan,florida,florida,florida,new-york,texas,louisiana,louisiana
131,wisconsin,south-carolina,florida,virginia,virginia,virginia,texas,new-york,new-york,georgia
132,new-jersey,missouri,virginia,michigan,georgia,texas,virginia,virginia,georgia,virginia
133,tennessee,virginia,ohio,georgia,michigan,georgia,georgia,georgia,virginia,new-york
134,washington,utah,kentucky,kentucky,texas,michigan,north-carolina,north-carolina,north-carolina,north-carolina
135,pennsylvania,california,georgia,ohio,kentucky,north-carolina,michigan,california,california,california
136,virginia,wisconsin,north-carolina,texas,ohio,kentucky,california,michigan,michigan,texas
137,california,texas,texas,north-carolina,north-carolina,ohio,kentucky,kentucky,kentucky,florida
138,maryland,new-jersey,california,california,california,california,ohio,ohio,texas,michigan
139,florida,michigan,missouri,missouri,missouri,missouri,missouri,texas,florida,kentucky
140,texas,maryland,illinois,illinois,illinois,illinois,texas,florida,ohio,ohio
141,illinois,florida,pennsylvania,pennsylvania,new-york,new-york,florida,missouri,missouri,missouri
142,colorado,new-york,new-york,new-york,pennsylvania,maryland,maryland,california,california,california
143,massachusetts,ohio,maryland,maryland,maryland,texas,illinois,maryland,maryland,maryland
144,connecticut,california,california,california,california,pennsylvania,new-york,new-york,new-york,new-york
145,new-york,georgia,florida,florida,florida,california,california,illinois,illinois,texas
146,california,arizona,wisconsin,texas,texas,florida,pennsylvania,pennsylvania,pennsylvania,pennsylvania
147,oklahoma,north-carolina,texas,wisconsin,wisconsin,wisconsin,wisconsin,texas,texas,illinois
148,ohio,illinois,new-jersey,new-jersey,new-jersey,california,california,wisconsin,california,oregon
149,west-virginia,pennsylvania,california,california,california,new-jersey,texas,california,oregon,california
150,california,california,oregon,oregon,oregon,texas,new-jersey,oregon,wisconsin,florida
151,minnesota,texas,new-york,new-york,texas,oregon,oregon,new-jersey,florida,wisconsin
152,texas,minnesota,ohio,texas,new-york,new-york,florida,florida,new-jersey,washington
153,pennsylvania,massachusetts,oklahoma,oklahoma,oklahoma,oklahoma,new-york,washington,washington,new-jersey
154,michigan,nevada,minnesota,minnesota,minnesota,florida,oklahoma,oklahoma,california,colorado
155,new-york,oklahoma,texas,ohio,california,california,california,california,oklahoma,texas
156,indiana,new-york,michigan,california,florida,minnesota,washington,new-york,colorado,california
157,florida,oregon,california,florida,ohio,washington,minnesota,minnesota,texas,minnesota
158,louisiana,florida,illinois,washington,washington,ohio,georgia,georgia,minnesota,georgia
159,utah,connecticut,florida,michigan,georgia,georgia,ohio,colorado,georgia,oklahoma
160,california,california,washington,illinois,michigan,michigan,colorado,texas,new-york,new-york
161,north-carolina,indiana,georgia,georgia,illinois,north-carolina,texas,ohio,north-carolina,north-carolina
162,illinois,texas,pennsylvania,pennsylvania,north-carolina,colorado,north-carolina,north-carolina,ohio,arizona
163,new-jersey,ohio,north-carolina,north-carolina,pennsylvania,illinois,michigan,california,arizona,ohio
164,georgia,california,virginia,virginia,colorado,texas,virginia,michigan,california,florida
165,texas,michigan,massachusetts,massachusetts,virginia,virginia,illinois,virginia,virginia,california
166,alabama,washington,california,california,california,pennsylvania,california,arizona,michigan,virginia
167,california,new-york,connecticut,colorado,texas,california,massachusetts,massachusetts,florida,michigan
168,oregon,illinois,new-mexico,new-mexico,massachusetts,massachusetts,pennsylvania,illinois,massachusetts,massachusetts
169,new-york,new-jersey,colorado,connecticut,new-mexico,arizona,arizona,pennsylvania,illinois,texas
170,missouri,pennsylvania,indiana,texas,connecticut,new-mexico,florida,florida,texas,pennsylvania
171,ohio,virginia,texas,indiana,arizona,connecticut,indiana,texas,pennsylvania,illinois
172,iowa,louisiana,new-york,new-york,indiana,indiana,new-mexico,indiana,tennessee,tennessee
173,pennsylvania,new-mexico,arizona,arizona,new-york,new-york,connecticut,tennessee,indiana,california
174,virginia,alabama,tennessee,tennessee,tennessee,florida,new-york,california,california,indiana
175,florida,florida,california,california,california,tennessee,tennessee,new-mexico,new-mexico,new-mexico
176,california,west-virginia,florida,florida,florida,california,california,new-york,new-york,new-york
177,nebraska,california,alabama,texas,texas,texas,texas,connecticut,connecticut,connecticut
178,texas,tennessee,texas,alabama,alabama,california,california,california,south-carolina,texas
179,massachusetts,texas,ohio,california,california,alabama,alabama,south-carolina,texas,south-carolina
180,michigan,georgia,new-jersey,new-jersey,new-jersey,south-carolina,south-carolina,texas,california,florida
