step,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
77,indiana,indiana,arizona,arizona,arizona,oklahoma,oklahoma,massachusetts
78,arizona,arizona,indiana,indiana,indiana,florida,florida,oklahoma
79,tennessee,tennessee,tennessee,tennessee,tennessee,indiana,tennessee,tennessee
80,new-york,new-york,california,california,california,tennessee,california,california
81,ohio,california,new-york,new-york,florida,california,indiana,indiana
82,california,ohio,florida,florida,new-york,new-york,texas,texas
83,new-jersey,florida,ohio,ohio,ohio,texas,new-york,new-york
84,connecticut,new-jersey,new-jersey,new-jersey,new-jersey,ohio,ohio,ohio
85,florida,connecticut,connecticut,connecticut,texas,new-jersey,new-jersey,new-jersey
86,missouri,missouri,texas,texas,connecticut,connecticut,california,california
87,california,texas,missouri,california,california,california,connecticut,connecticut
88,texas,california,california,missouri,missouri,missouri,missouri,missouri
89,maryland,maryland,maryland,maryland,maryland,maryland,maryland,florida
90,illinois,illinois,virginia,virginia,virginia,virginia,florida,maryland
91,wisconsin,virginia,illinois,illinois,illinois,florida,virginia,texas
92,pennsylvania,wisconsin,wisconsin,wisconsin,texas,texas,texas,virginia
93,virginia,pennsylvania,pennsylvania,pennsylvania,florida,california,california,california
94,new-york,new-york,new-york,california,wisconsin,wisconsin,wisconsin,wisconsin
95,california,california,california,new-york,california,illinois,illinois,new-york
96,florida,florida,florida,florida,pennsylvania,pennsylvania,new-york,pennsylvania
97,michigan,texas,texas,texas,new-york,new-york,pennsylvania,illinois
98,texas,michigan,georgia,georgia,georgia,georgia,georgia,georgia
99,georgia,georgia,michigan,michigan,minnesota,north-carolina,north-carolina,north-carolina
100,minnesota,minnesota,minnesota,minnesota,north-carolina,minnesota,colorado,colorado
101,iowa,iowa,north-carolina,north-carolina,michigan,california,minnesota,minnesota
102,north-carolina,north-carolina,iowa,california,california,colorado,california,texas
103,california,california,california,iowa,iowa,michigan,texas,california
104,ohio,ohio,colorado,colorado,colorado,iowa,michigan,michigan
105,mississippi,mississippi,mississippi,texas,texas,texas,iowa,iowa
106,arkansas,colorado,ohio,mississippi,ohio,florida,florida,florida
107,colorado,arkansas,texas,ohio,mississippi,ohio,utah,utah
108,new-york,texas,arkansas,arkansas,florida,mississippi,california,washington
109,kansas,new-york,new-york,new-york,arkansas,utah,ohio,california
110,texas,california,california,california,california,california,arkansas,ohio
111,california,kansas,florida,florida,new-york,arkansas,mississippi,arkansas
112,florida,florida,kansas,utah,utah,new-york,washington,nevada
113,illinois,utah,utah,kansas,kansas,washington,new-york,mississippi
114,new-jersey,illinois,washington,washington,washington,kansas,nevada,texas
115,pennsylvania,new-jersey,illinois,new-jersey,nevada,nevada,texas,new-york
116,alabama,washington,new-jersey,illinois,texas,texas,kansas,kansas
117,utah,pennsylvania,pennsylvania,alabama,new-jersey,new-jersey,south-carolina,south-carolina
118,washington,alabama,alabama,pennsylvania,illinois,california,california,california
119,nevada,california,california,nevada,california,south-carolina,new-jersey,arizona
120,california,nevada,nevada,texas,alabama,illinois,arizona,new-jersey
121,south-carolina,south-carolina,texas,california,pennsylvania,alabama,alabama,florida
122,massachusetts,massachusetts,south-carolina,south-carolina,south-carolina,pennsylvania,illinois,alabama
123,indiana,texas,massachusetts,massachusetts,massachusetts,arizona,florida,massachusetts
124,texas,indiana,arizona,arizona,arizona,massachusetts,pennsylvania,pennsylvania
125,louisiana,louisiana,indiana,indiana,indiana,florida,massachusetts,illinois
126,new-york,arizona,louisiana,louisiana,florida,louisiana,texas,texas
127,arizona,new-york,new-york,new-york,louisiana,indiana,tennessee,tennessee
128,tennessee,tennessee,tennessee,tennessee,tennessee,tennessee,california,california
129,california,california,california,florida,california,california,louisiana,indiana
130,michigan,florida,florida,california,new-york,texas,indiana,louisiana
131,florida,virginia,virginia,virginia,texas,new-york,new-york,georgia
132,virginia,michigan,georgia,texas,virginia,virginia,georgia,virginia
133,ohio,georgia,michigan,georgia,georgia,georgia,virginia,new-york
134,kentucky,kentucky,texas,michigan,north-carolina,north-carolina,north-carolina,north-carolina
135,georgia,ohio,kentucky,north-carolina,michigan,california,california,california
136,north-carolina,texas,ohio,kentucky,kentucky,michigan,michigan,florida
137,texas,north-carolina,north-carolina,ohio,california,kentucky,kentucky,texas
138,california,california,california,california,ohio,ohio,texas,michigan
139,missouri,missouri,missouri,missouri,missouri,texas,florida,kentucky
140,illinois,illinois,illinois,illinois,texas,florida,ohio,ohio
141,pennsylvania,pennsylvania,new-york,new-york,florida,missouri,missouri,missouri
142,new-york,new-york,pennsylvania,maryland,maryland,california,california,california
143,maryland,maryland,maryland,texas,illinois,maryland,maryland,maryland
144,california,california,california,florida,new-york,new-york,new-york,new-york
145,florida,florida,florida,pennsylvania,california,illinois,illinois,texas
146,wisconsin,texas,texas,california,pennsylvania,pennsylvania,pennsylvania,pennsylvania
147,texas,wisconsin,wisconsin,wisconsin,wisconsin,texas,texas,illinois
148,new-jersey,new-jersey,new-jersey,california,california,wisconsin,california,oregon
149,california,california,california,new-jersey,texas,california,oregon,florida
150,oregon,oregon,oregon,texas,new-jersey,oregon,wisconsin,california
151,new-york,new-york,texas,oregon,oregon,new-jersey,florida,wisconsin
152,ohio,texas,new-york,new-york,florida,florida,new-jersey,washington
153,oklahoma,oklahoma,oklahoma,oklahoma,oklahoma,washington,washington,new-jersey
154,minnesota,ohio,florida,florida,new-york,oklahoma,california,texas
155,texas,minnesota,california,california,california,california,oklahoma,colorado
156,michigan,california,minnesota,minnesota,washington,new-york,texas,california
157,california,florida,ohio,washington,minnesota,minnesota,colorado,georgia
158,illinois,washington,washington,ohio,georgia,georgia,minnesota,minnesota
159,florida,michigan,georgia,georgia,ohio,texas,georgia,oklahoma
160,washington,georgia,michigan,michigan,texas,colorado,new-york,new-york
161,georgia,illinois,illinois,north-carolina,colorado,ohio,north-carolina,north-carolina
162,pennsylvania,pennsylvania,north-carolina,colorado,north-carolina,north-carolina,ohio,arizona
163,north-carolina,north-carolina,pennsylvania,illinois,michigan,michigan,arizona,florida
164,virginia,virginia,virginia,texas,virginia,california,california,ohio
165,massachusetts,colorado,colorado,virginia,illinois,virginia,virginia,california
166,california,massachusetts,texas,pennsylvania,california,arizona,florida,virginia
167,connecticut,california,california,california,massachusetts,massachusetts,michigan,michigan
168,new-mexico,new-mexico,massachusetts,massachusetts,pennsylvania,illinois,massachusetts,texas
169,colorado,texas,new-mexico,arizona,arizona,pennsylvania,illinois,massachusetts
170,indiana,connecticut,connecticut,new-mexico,florida,florida,texas,pennsylvania
171,texas,indiana,arizona,connecticut,new-mexico,texas,pennsylvania,illinois
172,new-york,new-york,indiana,indiana,indiana,indiana,tennessee,tennessee
173,arizona,arizona,new-york,new-york,connecticut,tennessee,indiana,california
174,tennessee,tennessee,tennessee,florida,tennessee,new-mexico,california,indiana
175,california,california,florida,tennessee,new-york,california,new-mexico,new-mexico
176,florida,florida,california,california,texas,new-york,new-york,new-york
177,alabama,texas,texas,texas,california,connecticut,connecticut,connecticut
178,texas,alabama,alabama,alabama,california,california,texas,texas
179,ohio,california,california,california,alabama,south-carolina,south-carolina,south-carolina
180,new-jersey,new-jersey,new-jersey,south-carolina,south-carolina,texas,california,florida
181,california,ohio,south-carolina,new-jersey,texas,alabama,florida,california
182,illinois,illinois,ohio,ohio,new-jersey,florida,alabama,alabama
183,missouri,south-carolina,illinois,texas,florida,new-jersey,new-jersey,georgia
184,pennsylvania,new-york,new-york,new-york,ohio,california,georgia,new-jersey
185,south-carolina,missouri,missouri,illinois,new-york,ohio,california,california
186,new-york,pennsylvania,pennsylvania,florida,illinois,new-york,ohio,texas
187,michigan,louisiana,texas,missouri,california,georgia,new-york,ohio
188,west-virginia,california,florida,pennsylvania,missouri,missouri,texas,north-carolina
189,louisiana,florida,california,california,georgia,illinois,missouri,new-york
190,california,michigan,louisiana,louisiana,pennsylvania,louisiana,north-carolina,missouri
191,florida,texas,georgia,georgia,louisiana,pennsylvania,louisiana,nebraska
192,georgia,west-virginia,michigan,maryland,maryland,north-carolina,illinois,florida
193,texas,georgia,maryland,michigan,nebraska,texas,nebraska,louisiana
194,nebraska,maryland,west-virginia,nebraska,north-carolina,maryland,pennsylvania,washington
195,maryland,nebraska,nebraska,north-carolina,michigan,nebraska,maryland,maryland
196,north-carolina,north-carolina,north-carolina,west-virginia,texas,michigan,florida,pennsylvania
197,wisconsin,california,california,california,california,california,california,illinois
198,california,wisconsin,wisconsin,texas,west-virginia,florida,washington,california
199,kentucky,kentucky,texas,wisconsin,washington,washington,michigan,michigan
200,new-york,new-york,new-york,virginia,florida,west-virginia,virginia,texas
201,iowa,texas,virginia,washington,virginia,virginia,texas,virginia
202,virginia,virginia,kentucky,new-york,wisconsin,wisconsin,west-virginia,california
203,washington,iowa,washington,kentucky,new-york,texas,wisconsin,wisconsin
204,texas,washington,iowa,florida,kentucky,california,california,kentucky
205,illinois,florida,florida,iowa,california,new-york,kentucky,west-virginia
206,california,california,california,california,iowa,kentucky,new-york,iowa
207,florida,illinois,illinois,texas,texas,iowa,iowa,arizona
208,ohio,ohio,mississippi,illinois,massachusetts,arizona,arizona,new-york
209,mississippi,mississippi,ohio,massachusetts,california,massachusetts,florida,florida
210,pennsylvania,pennsylvania,pennsylvania,mississippi,illinois,california,california,utah
211,massachusetts,massachusetts,texas,ohio,arizona,florida,massachusetts,texas
212,arkansas,arkansas,massachusetts,pennsylvania,ohio,illinois,texas,california
